period,language,rank,share,source_url,provenance,is_derived,derivation_method
2016-01-01,Python,2,20.03,https://pypl.github.io/PYPL.html,published,0,
2016-01-01,Java,1,24.01,https://pypl.github.io/PYPL.html,published,0,
2016-01-01,C/C++,3,18.01,https://pypl.github.io/PYPL.html,published,0,
2016-01-01,JavaScript,4,9.51,https://pypl.github.io/PYPL.html,published,0,
2016-01-01,Rust,5,0.61,https://pypl.github.io/PYPL.html,published,0,
2016-02-01,Python,2,20.06,https://pypl.github.io/PYPL.html,published,0,
2016-02-01,Java,1,24.02,https://pypl.github.io/PYPL.html,published,0,
2016-02-01,C/C++,3,18.02,https://pypl.github.io/PYPL.html,published,0,
2016-02-01,JavaScript,4,9.52,https://pypl.github.io/PYPL.html,published,0,
2016-02-01,Rust,5,0.62,https://pypl.github.io/PYPL.html,published,0,
2016-03-01,Python,2,20.09,https://pypl.github.io/PYPL.html,published,0,
2016-03-01,Java,1,24.03,https://pypl.github.io/PYPL.html,published,0,
2016-03-01,C/C++,3,18.03,https://pypl.github.io/PYPL.html,published,0,
2016-03-01,JavaScript,4,9.53,https://pypl.github.io/PYPL.html,published,0,
2016-03-01,Rust,5,0.63,https://pypl.github.io/PYPL.html,published,0,
2016-04-01,Python,2,20.12,https://pypl.github.io/PYPL.html,published,0,
2016-04-01,Java,1,24.04,https://pypl.github.io/PYPL.html,published,0,
2016-04-01,C/C++,3,18.04,https://pypl.github.io/PYPL.html,published,0,
2016-04-01,JavaScript,4,9.54,https://pypl.github.io/PYPL.html,published,0,
2016-04-01,Rust,5,0.64,https://pypl.github.io/PYPL.html,published,0,
